Date,Open,High,Low,Close,Volume,Company,company
2024-10-18,0.9717192499086446,0.9595963289377836,0.9915666519805484,0.9761951716337792,-0.4372436072606171,price_panw,panw
2024-10-17,0.9650034848950704,0.9800419878870436,0.9786285690301632,0.983499314660516,-0.4358738406350063,price_panw,panw
2024-10-16,0.9785460193026084,0.9515934704750708,0.9622739360366028,0.9673416649347042,-0.4143305990067032,price_panw,panw
2024-10-15,0.9708312148655276,0.9613503801076932,0.9768362804829238,0.9740371293758796,-0.4052756856875293,price_panw,panw
2024-10-14,0.9926990778022896,0.9657903221315272,0.9756040821066968,0.9711044052818112,-0.4366135350924961,price_panw,panw
2024-10-11,0.9484083300268168,0.9723680140186884,0.9708993246701928,0.9671756616840964,-0.4253477863734887,price_panw,panw
2024-10-10,0.8984008566612768,0.9255567734217236,0.920771254364588,0.9461485832737928,-0.4263553014798483,price_panw,panw
2024-10-09,0.8713712900363955,0.891407589707544,0.8927667458139706,0.9100152090581926,-0.4230864812363361,price_panw,panw
2024-10-08,0.8173676589768276,0.855449540724395,0.836757728712736,0.8671863704014166,-0.4110333316738961,price_panw,panw
2024-10-07,0.7908376120637,0.7927422114001232,0.790886343706825,0.772066507803228,-0.4239233979699122,price_panw,panw
2024-10-04,0.7984969143105862,0.7784905456446068,0.7840532436204741,0.7965243200594232,-0.42900831518138,price_panw,panw
2024-10-03,0.731672277316013,0.7441221055341887,0.7466392201968497,0.7609996244293841,-0.4293830087954066,price_panw,panw
2024-10-02,0.734946906537508,0.7492198167467388,0.7446228955812052,0.7399172116022114,-0.4287901647214615,price_panw,panw
2024-10-01,0.7962768267027932,0.7720224819555648,0.7429426250681681,0.7242022372113531,-0.4196673458996856,price_panw,panw
2024-11-15,-0.9317283628229852,-0.9355463319515294,-0.932679139549468,-0.9347235805278514,-0.445107782652736,price_sym,sym
2024-11-14,-0.9225705014408384,-0.9226650186725048,-0.9285344722839768,-0.9322888661856056,-0.4390499693765161,price_sym,sym
2024-11-13,-0.9093054779842744,-0.9083037247188692,-0.9216453631805248,-0.9236566971540074,-0.4355950226892888,price_sym,sym
2024-11-12,-0.9121360896842108,-0.9104414745821968,-0.9073070548026088,-0.9079970571800184,-0.4461758951090729,price_sym,sym
2024-11-11,-0.9051428137196624,-0.9016164046335886,-0.9034424326226236,-0.9047876610016036,-0.4347219860075201,price_sym,sym
2024-11-08,-0.9209609379251884,-0.9152103012003888,-0.9152043262138828,-0.9100444306041796,-0.4397802235524006,price_sym,sym
2024-11-07,-0.918130326225252,-0.921130223898834,-0.917444686897932,-0.9178465833827396,-0.441493319052559,price_sym,sym
